,meta_return,regime,strategy
2020-01-02,0.0093516361069174,UNKNOWN,SPY
2020-01-03,-0.00771469551799453,BULL,MOM+QD
2020-01-06,0.00248611751620095,BULL,MOM+QD
2020-01-07,-0.0024940728043252197,BULL,MOM+QD
2020-01-08,0.006616296203662869,BULL,MOM+QD
2020-01-09,0.012809677819370889,BULL,MOM+QD
2020-01-10,-0.00200788700594282,BULL,MOM+QD
2020-01-13,0.015220798381686369,BULL,MOM+QD
2020-01-14,-0.007574144296077549,BULL,MOM+QD
2020-01-15,0.0014143193643774297,BULL,MOM+QD
2020-01-16,0.011828515099779769,BULL,MOM+QD
2020-01-17,0.00964946682183528,BULL,MOM+QD
2020-01-21,-0.00077296565796548,BULL,MOM+QD
2020-01-22,-0.00133717375035102,BULL,MOM+QD
2020-01-23,0.00413387338333575,BULL,MOM+QD
2020-01-24,-0.01016310677694669,BULL,MOM+QD
2020-01-27,-0.01849009228673356,BULL,MOM+QD
2020-01-28,0.01859122516274014,BULL,MOM+QD
2020-01-29,0.0049556484022956,BULL,MOM+QD
2020-01-30,0.00249993731054498,BULL,MOM+QD
2020-01-31,-0.02665638564430911,BULL,MOM+QD
2020-02-03,0.01146068738299815,BULL,MOM+QD
2020-02-04,0.020937248236084907,BULL,MOM+QD
2020-02-05,0.00418536385813428,BULL,MOM+QD
2020-02-06,0.0061769612680666695,BULL,MOM+QD
2020-02-07,-0.0059755008671286995,BULL,MOM+QD
2020-02-10,0.01467490283187858,BULL,MOM+QD
2020-02-11,-0.0004688257832941099,BULL,MOM+QD
2020-02-12,0.008880717549833259,BULL,MOM+QD
2020-02-13,0.0004840715343446901,BULL,MOM+QD
2020-02-14,0.01141798723692979,BULL,MOM+QD
2020-02-18,0.00261163249144055,BULL,MOM+QD
2020-02-19,0.01425118309634186,BULL,MOM+QD
2020-02-20,-0.010054676840550978,BULL,MOM+QD
2020-02-21,-0.018170982572926177,BULL,MOM+QD
2020-02-24,-0.043144552172797626,BULL,MOM+QD
2020-02-25,-0.03514525864675052,BULL,MOM+QD
2020-02-26,0.0,BEAR,CASH
2020-02-27,0.0,BEAR,CASH
2020-02-28,0.0,BEAR,CASH
2020-03-02,0.0,BEAR,CASH
2020-03-03,0.0,BEAR,CASH
2020-03-04,0.0,BEAR,CASH
2020-03-05,0.0,BEAR,CASH
2020-03-06,0.0,BEAR,CASH
2020-03-09,0.0,BEAR,CASH
2020-03-10,0.0,BEAR,CASH
2020-03-11,0.0,BEAR,CASH
2020-03-12,0.0,BEAR,CASH
2020-03-13,0.0,BEAR,CASH
2020-03-16,0.0,BEAR,CASH
2020-03-17,0.0,BEAR,CASH
2020-03-18,0.0,BEAR,CASH
2020-03-19,0.0,BEAR,CASH
2020-03-20,0.0,BEAR,CASH
2020-03-23,0.0,BEAR,CASH
2020-03-24,0.0,BEAR,CASH
2020-03-25,0.0,BEAR,CASH
2020-03-26,0.0,BEAR,CASH
2020-03-27,0.0,BEAR,CASH
2020-03-30,0.0,BEAR,CASH
2020-03-31,0.0,BEAR,CASH
2020-04-01,0.0,BEAR,CASH
2020-04-02,0.0,BEAR,CASH
2020-04-03,0.0,BEAR,CASH
2020-04-06,0.0,BEAR,CASH
2020-04-07,0.0,BEAR,CASH
2020-04-08,0.0,BEAR,CASH
2020-04-09,0.0,BEAR,CASH
2020-04-13,0.0,BEAR,CASH
2020-04-14,0.0,BEAR,CASH
2020-04-15,0.0,BEAR,CASH
2020-04-16,0.0,BEAR,CASH
2020-04-17,0.0,BEAR,CASH
2020-04-20,0.0,BEAR,CASH
2020-04-21,0.0,BEAR,CASH
2020-04-22,0.0,BEAR,CASH
2020-04-23,0.0,BEAR,CASH
2020-04-24,0.0,BEAR,CASH
2020-04-27,0.0,BEAR,CASH
2020-04-28,0.0,BEAR,CASH
2020-04-29,0.0,BEAR,CASH
2020-04-30,0.0,BEAR,CASH
2020-05-01,0.0,BEAR,CASH
2020-05-04,0.0,BEAR,CASH
2020-05-05,0.0,BEAR,CASH
2020-05-06,0.0,BEAR,CASH
2020-05-07,0.0,BEAR,CASH
2020-05-08,0.0,BEAR,CASH
2020-05-11,0.0,BEAR,CASH
2020-05-12,0.0,BEAR,CASH
2020-05-13,0.0,BEAR,CASH
2020-05-14,0.0,BEAR,CASH
2020-05-15,0.0,BEAR,CASH
2020-05-18,0.0,BEAR,CASH
2020-05-19,0.0,BEAR,CASH
2020-05-20,0.0,BEAR,CASH
2020-05-21,0.0,BEAR,CASH
2020-05-22,0.0,BEAR,CASH
2020-05-26,0.0,BEAR,CASH
2020-05-27,0.0,BEAR,CASH
2020-05-28,0.0,BEAR,CASH
2020-05-29,0.0,BEAR,CASH
2020-06-01,0.0,BEAR,CASH
2020-06-02,0.0,BEAR,CASH
2020-06-03,0.0,BEAR,CASH
2020-06-04,0.0,BEAR,CASH
2020-06-05,0.0,BEAR,CASH
2020-06-08,0.0,BEAR,CASH
2020-06-09,0.0,BEAR,CASH
2020-06-10,0.0,BEAR,CASH
2020-06-11,0.0,BEAR,CASH
2020-06-12,0.0,BEAR,CASH
2020-06-15,0.0,BEAR,CASH
2020-06-16,0.0,BEAR,CASH
2020-06-17,0.0,BEAR,CASH
2020-06-18,0.0,BEAR,CASH
2020-06-19,0.0,BEAR,CASH
2020-06-22,0.0,BEAR,CASH
2020-06-23,0.0,BEAR,CASH
2020-06-24,0.0,BEAR,CASH
2020-06-25,0.0,BEAR,CASH
2020-06-26,0.0,BEAR,CASH
2020-06-29,0.0,BEAR,CASH
2020-06-30,0.0,BEAR,CASH
2020-07-01,0.0,BEAR,CASH
2020-07-02,0.0,BEAR,CASH
2020-07-06,0.0,BEAR,CASH
2020-07-07,0.0,BEAR,CASH
2020-07-08,0.0,BEAR,CASH
2020-07-09,0.0,BEAR,CASH
2020-07-10,0.0,BEAR,CASH
2020-07-13,0.0,BEAR,CASH
2020-07-14,0.0,BEAR,CASH
2020-07-15,0.0,BEAR,CASH
2020-07-16,0.0,BEAR,CASH
2020-07-17,0.0,BEAR,CASH
2020-07-20,0.0,BEAR,CASH
2020-07-21,0.0,BEAR,CASH
2020-07-22,0.0,BEAR,CASH
2020-07-23,0.0,BEAR,CASH
2020-07-24,-0.009153988245048499,RANGE,MR+QD
2020-07-27,0.008007021685165054,RANGE,MR+QD
2020-07-28,-0.0089409609272694,RANGE,MR+QD
2020-07-29,0.01051976549692665,RANGE,MR+QD
2020-07-30,0.0,BEAR,CASH
2020-07-31,0.0,BEAR,CASH
2020-08-03,0.0184061499202941,RANGE,MR+QD
2020-08-04,0.0025025752186158003,RANGE,MR+QD
2020-08-05,0.00274866814963705,RANGE,MR+QD
2020-08-06,0.00774054295022805,RANGE,MR+QD
2020-08-07,-0.01167198353015985,RANGE,MR+QD
2020-08-10,-0.00748318766938805,RANGE,MR+QD
2020-08-11,-0.016349884289974498,RANGE,MR+QD
2020-08-12,0.02691293089145485,RANGE,MR+QD
2020-08-13,0.00271334659249545,RANGE,MR+QD
2020-08-14,-0.00171122003834655,RANGE,MR+QD
2020-08-17,0.012005114977305501,RANGE,MR+QD
2020-08-18,0.01007349096885755,RANGE,MR+QD
2020-08-19,-0.00212285027287425,RANGE,MR+QD
2020-08-20,0.0115606768164919,RANGE,MR+QD
2020-08-21,0.00385261104843795,RANGE,MR+QD
2020-08-24,0.0003870089159489498,RANGE,MR+QD
2020-08-25,0.00756209184813395,RANGE,MR+QD
2020-08-26,0.0364350494846665,RANGE,MR+QD
2020-08-27,-0.0062636270673080505,RANGE,MR+QD
2020-08-28,0.005818250800105449,RANGE,MR+QD
2020-08-31,0.009173175946842029,RANGE,MR+QD
2020-09-01,0.0069159419236817996,RANGE,MR+QD
2020-09-02,0.00992904512483475,RANGE,MR+QD
2020-09-03,-0.0423519320146124,RANGE,MR+QD
2020-09-04,0.0,BEAR,CASH
2020-09-08,0.0,BEAR,CASH
2020-09-09,0.0,BEAR,CASH
2020-09-10,0.0,BEAR,CASH
2020-09-11,0.0,BEAR,CASH
2020-09-14,0.0,BEAR,CASH
2020-09-15,0.0,BEAR,CASH
2020-09-16,0.0,BEAR,CASH
2020-09-17,0.0,BEAR,CASH
2020-09-18,0.0,BEAR,CASH
2020-09-21,0.0,BEAR,CASH
2020-09-22,0.0,BEAR,CASH
2020-09-23,0.0,BEAR,CASH
2020-09-24,0.0,BEAR,CASH
2020-09-25,0.0,BEAR,CASH
2020-09-28,0.0,BEAR,CASH
2020-09-29,0.0,BEAR,CASH
2020-09-30,0.0,BEAR,CASH
2020-10-01,0.0,BEAR,CASH
2020-10-02,0.0,BEAR,CASH
2020-10-05,0.0,BEAR,CASH
2020-10-06,0.0,BEAR,CASH
2020-10-07,0.0,BEAR,CASH
2020-10-08,0.0,BEAR,CASH
2020-10-09,0.0,BEAR,CASH
2020-10-12,0.0,BEAR,CASH
2020-10-13,0.0,BEAR,CASH
2020-10-14,0.0,BEAR,CASH
2020-10-15,0.0,BEAR,CASH
2020-10-16,0.0,BEAR,CASH
2020-10-19,0.0,BEAR,CASH
2020-10-20,0.0,BEAR,CASH
2020-10-21,0.0,BEAR,CASH
2020-10-22,0.0,BEAR,CASH
2020-10-23,0.0,BEAR,CASH
2020-10-26,0.0,BEAR,CASH
2020-10-27,0.0,BEAR,CASH
2020-10-28,0.0,BEAR,CASH
2020-10-29,0.0,BEAR,CASH
2020-10-30,0.0,BEAR,CASH
2020-11-02,0.0,BEAR,CASH
2020-11-03,0.0,BEAR,CASH
2020-11-04,0.0,BEAR,CASH
2020-11-05,0.0,BEAR,CASH
2020-11-06,0.0,BEAR,CASH
2020-11-09,0.0,BEAR,CASH
2020-11-10,0.0,BEAR,CASH
2020-11-11,0.0,BEAR,CASH
2020-11-12,0.0,BEAR,CASH
2020-11-13,0.0056716659239048,RANGE,MR+QD
2020-11-16,0.00521787627971987,RANGE,MR+QD
2020-11-17,0.00157668912333965,RANGE,MR+QD
2020-11-18,-0.0100062758515559,RANGE,MR+QD
2020-11-19,0.00581754302824775,RANGE,MR+QD
2020-11-20,-0.005732113172115451,RANGE,MR+QD
2020-11-23,0.0007170530212977501,RANGE,MR+QD
2020-11-24,0.005930585923934049,RANGE,MR+QD
2020-11-25,0.00642258642364155,RANGE,MR+QD
2020-11-27,0.0029566636687144497,RANGE,MR+QD
2020-11-30,0.00824043078550445,RANGE,MR+QD
2020-12-01,0.0100116188065262,RANGE,MR+QD
2020-12-02,-0.0031495415016424503,RANGE,MR+QD
2020-12-03,-0.00451744108069105,RANGE,MR+QD
2020-12-04,0.00422514329769545,RANGE,MR+QD
2020-12-07,0.0094260127384073,RANGE,MR+QD
2020-12-08,-0.00292809995075905,RANGE,MR+QD
2020-12-09,-0.019267855871682348,RANGE,MR+QD
2020-12-10,0.00555690714222315,RANGE,MR+QD
2020-12-11,-0.00323270937727865,RANGE,MR+QD
2020-12-14,0.0094487416264004,RANGE,MR+QD
2020-12-15,0.00739099383529425,RANGE,MR+QD
2020-12-16,0.00034218070660585,RANGE,MR+QD
2020-12-17,0.00916341944831755,RANGE,MR+QD
2020-12-18,0.0017960825827486,RANGE,MR+QD
2020-12-21,-0.00596674116775465,RANGE,MR+QD
2020-12-22,-0.0005295188383758502,RANGE,MR+QD
2020-12-23,-0.01102689724698845,RANGE,MR+QD
2020-12-24,0.0026101779037395498,RANGE,MR+QD
2020-12-28,0.00803188321371,RANGE,MR+QD
2020-12-29,0.00293536208075875,RANGE,MR+QD
2020-12-30,-0.00161967156230305,RANGE,MR+QD
2020-12-31,0.005113492206566849,RANGE,MR+QD
2021-01-04,-0.00340116559400275,RANGE,MR+QD
2021-01-05,0.0106179660136024,RANGE,MR+QD
2021-01-06,-0.0100536973939766,RANGE,MR+QD
2021-01-07,0.02275954316285355,RANGE,MR+QD
2021-01-08,0.0,BEAR,CASH
2021-01-11,0.0,BEAR,CASH
2021-01-12,0.0,BEAR,CASH
2021-01-13,0.0011543496734792498,RANGE,MR+QD
2021-01-14,-0.0091940126513862,RANGE,MR+QD
2021-01-15,-0.00808190123031535,RANGE,MR+QD
2021-01-19,0.00908567163492175,RANGE,MR+QD
2021-01-20,0.022192094686602902,RANGE,MR+QD
2021-01-21,0.00612121769500995,RANGE,MR+QD
2021-01-22,0.0025406465906769,RANGE,MR+QD
2021-01-25,0.0039706244632357005,RANGE,MR+QD
2021-01-26,-0.00266280778891785,RANGE,MR+QD
2021-01-27,-0.03748578580701535,RANGE,MR+QD
2021-01-28,0.00488061524168255,RANGE,MR+QD
2021-01-29,0.0,BEAR,CASH
2021-02-01,0.0,BEAR,CASH
2021-02-02,0.0,BEAR,CASH
2021-02-03,0.0,BEAR,CASH
2021-02-04,0.0,BEAR,CASH
2021-02-05,0.0,BEAR,CASH
2021-02-08,0.0,BEAR,CASH
2021-02-09,-0.0033640619161039,RANGE,MR+QD
2021-02-10,-0.0021000038729301,RANGE,MR+QD
2021-02-11,0.00198741908058255,RANGE,MR+QD
2021-02-12,0.00406035987401125,RANGE,MR+QD
2021-02-16,-0.0012589854893751504,RANGE,MR+QD
2021-02-17,-0.0047526415177886,RANGE,MR+QD
2021-02-18,-0.0059620476343432,RANGE,MR+QD
2021-02-19,-0.007407469495741,RANGE,MR+QD
2021-02-22,-0.0229720799266757,RANGE,MR+QD
2021-02-23,-0.0024587827752884,RANGE,MR+QD
2021-02-24,0.0146833850779216,RANGE,MR+QD
2021-02-25,-0.02820813745598605,RANGE,MR+QD
2021-02-26,0.0019845536606828,RANGE,MR+QD
2021-03-01,0.0,BEAR,CASH
2021-03-02,0.0,BEAR,CASH
2021-03-03,0.0,BEAR,CASH
2021-03-04,0.0,BEAR,CASH
2021-03-05,0.0,BEAR,CASH
2021-03-08,0.0,BEAR,CASH
2021-03-09,0.0,BEAR,CASH
2021-03-10,0.0,BEAR,CASH
2021-03-11,0.0,BEAR,CASH
2021-03-12,-0.00616242173360605,RANGE,MR+QD
2021-03-15,0.01449381035511945,RANGE,MR+QD
2021-03-16,-0.0020430577086424997,RANGE,MR+QD
2021-03-17,0.004301454321594,RANGE,MR+QD
2021-03-18,-0.029769224247339892,BULL,MOM+QD
2021-03-19,0.00930238335411157,BULL,MOM+QD
2021-03-22,0.0172643687068344,RANGE,MR+QD
2021-03-23,-0.01014733523717315,RANGE,MR+QD
2021-03-24,-0.0177389192044188,RANGE,MR+QD
2021-03-25,0.003244801775116126,RANGE,MR+QD
2021-03-26,0.0202599193537319,RANGE,MR+QD
2021-03-29,-0.0035471751028247596,BULL,MOM+QD
2021-03-30,-0.0064679514295637106,BULL,MOM+QD
2021-03-31,0.01952690910535416,BULL,MOM+QD
2021-04-01,0.01400815328600507,BULL,MOM+QD
2021-04-05,0.01624958476675061,BULL,MOM+QD
2021-04-06,-0.00366266249007583,BULL,MOM+QD
2021-04-07,0.00012208350090927,BULL,MOM+QD
2021-04-08,0.01024275911016981,BULL,MOM+QD
2021-04-09,0.00480880473923165,BULL,MOM+QD
2021-04-12,0.0006284023751728099,BULL,MOM+QD
2021-04-13,0.011427603892640859,BULL,MOM+QD
2021-04-14,-0.007580791109838109,BULL,MOM+QD
2021-04-15,0.018297333133489038,BULL,MOM+QD
2021-04-16,0.001643328532207896,BULL,MOM+QD
2021-04-19,-0.01530766333748905,BULL,MOM+QD
2021-04-20,-0.01249641154534754,BULL,MOM+QD
2021-04-21,0.01441687134126789,BULL,MOM+QD
2021-04-22,-0.01671575397682712,BULL,MOM+QD
2021-04-23,0.01866279600593653,BULL,MOM+QD
2021-04-26,0.00877947773286545,BULL,MOM+QD
2021-04-27,-0.006104422764241309,BULL,MOM+QD
2021-04-28,-0.009018225864698219,BULL,MOM+QD
2021-04-29,0.006210623884727049,BULL,MOM+QD
2021-04-30,-0.01036138124448666,BULL,MOM+QD
2021-05-03,0.00078465756732248,BULL,MOM+QD
2021-05-04,-0.008320302900858811,BULL,MOM+QD
2021-05-05,0.0032531547369848103,BULL,MOM+QD
2021-05-06,0.009933901022960509,BULL,MOM+QD
2021-05-07,0.01176437840193754,BULL,MOM+QD
2021-05-10,-0.01685885053278273,BULL,MOM+QD
2021-05-11,-0.013313528864694418,BULL,MOM+QD
2021-05-12,-0.029605972948933107,BULL,MOM+QD
2021-05-13,0.010731741794216779,BULL,MOM+QD
2021-05-14,0.0,BEAR,CASH
2021-05-17,0.0,BEAR,CASH
2021-05-18,0.0,BEAR,CASH
2021-05-19,-0.00410360456720145,RANGE,MR+QD
2021-05-20,0.0096887652448917,RANGE,MR+QD
2021-05-21,0.002417209530897,RANGE,MR+QD
2021-05-24,0.00985861549482865,RANGE,MR+QD
2021-05-25,-0.00253957169888,RANGE,MR+QD
2021-05-26,0.004606788825556459,BULL,MOM+QD
2021-05-27,0.01191742418834057,BULL,MOM+QD
2021-05-28,0.0026132863449269397,BULL,MOM+QD
2021-06-01,0.00500334878114328,BULL,MOM+QD
2021-06-02,0.00071197240840679,BULL,MOM+QD
2021-06-03,-0.00682988433011527,BULL,MOM+QD
2021-06-04,0.013643172002299609,BULL,MOM+QD
2021-06-07,-0.004737923866750409,BULL,MOM+QD
2021-06-08,-0.0008206258564448399,BULL,MOM+QD
2021-06-09,-0.00689775033674093,BULL,MOM+QD
2021-06-10,-0.00427719477415968,BULL,MOM+QD
2021-06-11,0.0031163099201254453,BULL,MOM+QD
2021-06-14,0.0013845659367412602,BULL,MOM+QD
2021-06-15,-0.00603875205459164,BULL,MOM+QD
2021-06-16,-0.00357158373230136,BULL,MOM+QD
2021-06-17,-0.0034574914567624096,BULL,MOM+QD
2021-06-18,-0.013507677128602388,BULL,MOM+QD
2021-06-21,0.01585759457292433,BULL,MOM+QD
2021-06-22,0.00309834145786824,BULL,MOM+QD
2021-06-23,0.0063918533645013,BULL,MOM+QD
2021-06-24,0.013752916149314329,BULL,MOM+QD
2021-06-25,-0.00297604625288223,BULL,MOM+QD
2021-06-28,0.00574494360398365,BULL,MOM+QD
2021-06-29,0.00345429687523559,BULL,MOM+QD
2021-06-30,0.0069320279642086,BULL,MOM+QD
2021-07-01,0.0038065195233984,BULL,MOM+QD
2021-07-02,0.0044186130494855294,BULL,MOM+QD
2021-07-06,-0.0097702139506664,BULL,MOM+QD
2021-07-07,0.00027542510041416997,BULL,MOM+QD
2021-07-08,-0.01249076953632471,BULL,MOM+QD
2021-07-09,0.01985844798012296,BULL,MOM+QD
2021-07-12,0.01159366699860474,BULL,MOM+QD
2021-07-13,-0.00944344779126184,BULL,MOM+QD
2021-07-14,-0.00354402662769691,BULL,MOM+QD
2021-07-15,-0.0030723841601269595,BULL,MOM+QD
2021-07-16,-0.01493956566109509,BULL,MOM+QD
2021-07-19,-0.02009213905046482,BULL,MOM+QD
2021-07-20,0.02112722878614836,BULL,MOM+QD
2021-07-21,0.01692887714615316,BULL,MOM+QD
2021-07-22,-0.0033006295203890095,BULL,MOM+QD
2021-07-23,0.004438274771053659,BULL,MOM+QD
2021-07-26,0.00468373138005411,BULL,MOM+QD
2021-07-27,-0.00205328682934069,BULL,MOM+QD
2021-07-28,0.00230750457955968,BULL,MOM+QD
2021-07-29,0.01066963274003075,BULL,MOM+QD
2021-07-30,-0.007379312389326699,BULL,MOM+QD
2021-08-02,-2.2190910935930043e-05,BULL,MOM+QD
2021-08-03,0.008612872218516159,BULL,MOM+QD
2021-08-04,-0.004738719585009439,BULL,MOM+QD
2021-08-05,0.009995878936071729,BULL,MOM+QD
2021-08-06,0.00668115963905897,BULL,MOM+QD
2021-08-09,0.00015421453721869998,BULL,MOM+QD
2021-08-10,0.00644231096971362,BULL,MOM+QD
2021-08-11,0.004832904885441729,BULL,MOM+QD
2021-08-12,0.0013387898838328497,BULL,MOM+QD
2021-08-13,-0.00438253692018813,BULL,MOM+QD
2021-08-16,-0.00586334706713155,BULL,MOM+QD
2021-08-17,-0.01252905322316612,BULL,MOM+QD
2021-08-18,-0.00922706795668273,BULL,MOM+QD
2021-08-19,-0.009703216844558759,BULL,MOM+QD
2021-08-20,0.00438851841178115,RANGE,MR+QD
2021-08-23,0.01082177236588215,RANGE,MR+QD
2021-08-24,0.007141043369608179,BULL,MOM+QD
2021-08-25,0.01053625554364049,BULL,MOM+QD
2021-08-26,-0.007505119282441169,BULL,MOM+QD
2021-08-27,0.01432349117501788,BULL,MOM+QD
2021-08-30,-0.00398618895660993,BULL,MOM+QD
2021-08-31,-0.0012634392400390298,BULL,MOM+QD
2021-09-01,-0.0031888890972532895,BULL,MOM+QD
2021-09-02,0.005827241483158999,BULL,MOM+QD
2021-09-03,-0.0022835615473262,BULL,MOM+QD
2021-09-07,-0.00568035972156098,BULL,MOM+QD
2021-09-08,-0.006390833423579179,BULL,MOM+QD
2021-09-09,-0.00445109609906973,BULL,MOM+QD
2021-09-10,-0.00393737527764953,BULL,MOM+QD
2021-09-13,0.00427602102939702,BULL,MOM+QD
2021-09-14,-0.0070697016619573,RANGE,MR+QD
2021-09-15,0.00690871025749635,RANGE,MR+QD
2021-09-16,-0.0035341730242856497,RANGE,MR+QD
2021-09-17,-0.00944759868735142,BULL,MOM+QD
2021-09-20,-0.01937409605177558,BULL,MOM+QD
2021-09-21,-0.0013790415749973502,RANGE,MR+QD
2021-09-22,0.0084769093674873,RANGE,MR+QD
2021-09-23,0.0149451420527807,RANGE,MR+QD
2021-09-24,0.00170233548633125,RANGE,MR+QD
2021-09-27,-0.0018244704362102501,RANGE,MR+QD
2021-09-28,-0.01857133981762865,RANGE,MR+QD
2021-09-29,0.0044819085250132,RANGE,MR+QD
2021-09-30,-0.015817350846273802,RANGE,MR+QD
2021-10-01,0.01073040866201585,RANGE,MR+QD
2021-10-04,-0.0147688718559387,RANGE,MR+QD
2021-10-05,0.013049803886257951,RANGE,MR+QD
2021-10-06,0.0014798956062575,RANGE,MR+QD
2021-10-07,0.00992925515164515,RANGE,MR+QD
